K,train_years,tc_bps,threshold_pct,sharpe,sortino,calmar,cagr,max_dd,volatility
2,10,0.0,0.0,0.7255,0.938,0.2773,0.0723,-0.2606,0.1039
2,10,0.0,2.0,0.7293,0.9439,0.2794,0.0725,-0.2594,0.1036
2,10,0.0,5.0,0.7335,0.9533,0.2872,0.073,-0.2543,0.1038
2,10,5.0,0.0,0.7079,0.9158,0.268,0.0703,-0.2622,0.1039
2,10,5.0,2.0,0.7121,0.9223,0.2704,0.0706,-0.261,0.1036
2,10,5.0,5.0,0.7166,0.9319,0.2781,0.0711,-0.2558,0.1037
2,10,15.0,0.0,0.6724,0.8709,0.2498,0.0663,-0.2655,0.1038
2,10,15.0,2.0,0.6776,0.8786,0.2526,0.0667,-0.264,0.1035
2,10,15.0,5.0,0.6826,0.8887,0.2602,0.0673,-0.2587,0.1036
2,10,30.0,0.0,0.6187,0.8036,0.2234,0.0604,-0.2703,0.1037
2,10,30.0,2.0,0.6252,0.8131,0.2269,0.0609,-0.2686,0.1034
2,10,30.0,5.0,0.6311,0.8241,0.2342,0.0616,-0.2631,0.1035
2,15,0.0,0.0,0.7255,0.938,0.2773,0.0723,-0.2606,0.1039
2,15,0.0,2.0,0.7293,0.9439,0.2794,0.0725,-0.2594,0.1036
2,15,0.0,5.0,0.7335,0.9533,0.2872,0.073,-0.2543,0.1038
2,15,5.0,0.0,0.7079,0.9158,0.268,0.0703,-0.2622,0.1039
2,15,5.0,2.0,0.7121,0.9223,0.2704,0.0706,-0.261,0.1036
2,15,5.0,5.0,0.7166,0.9319,0.2781,0.0711,-0.2558,0.1037
2,15,15.0,0.0,0.6724,0.8709,0.2498,0.0663,-0.2655,0.1038
2,15,15.0,2.0,0.6776,0.8786,0.2526,0.0667,-0.264,0.1035
2,15,15.0,5.0,0.6826,0.8887,0.2602,0.0673,-0.2587,0.1036
2,15,30.0,0.0,0.6187,0.8036,0.2234,0.0604,-0.2703,0.1037
2,15,30.0,2.0,0.6252,0.8131,0.2269,0.0609,-0.2686,0.1034
2,15,30.0,5.0,0.6311,0.8241,0.2342,0.0616,-0.2631,0.1035
2,20,0.0,0.0,0.7102,0.926,0.2757,0.0719,-0.2606,0.1059
2,20,0.0,2.0,0.714,0.9319,0.2779,0.0721,-0.2594,0.1056
2,20,0.0,5.0,0.7183,0.9415,0.2858,0.0727,-0.2543,0.1058
2,20,5.0,0.0,0.6932,0.9043,0.2666,0.0699,-0.2622,0.1059
2,20,5.0,2.0,0.6975,0.9109,0.269,0.0702,-0.261,0.1056
2,20,5.0,5.0,0.7021,0.9207,0.2768,0.0708,-0.2558,0.1057
2,20,15.0,0.0,0.659,0.8605,0.2486,0.066,-0.2655,0.1058
2,20,15.0,2.0,0.6643,0.8683,0.2515,0.0664,-0.264,0.1055
2,20,15.0,5.0,0.6695,0.8787,0.2592,0.0671,-0.2587,0.1056
2,20,30.0,0.0,0.6072,0.7948,0.2226,0.0602,-0.2703,0.1057
2,20,30.0,2.0,0.6139,0.8045,0.2262,0.0607,-0.2686,0.1054
2,20,30.0,5.0,0.6199,0.8157,0.2336,0.0615,-0.2631,0.1055
3,10,0.0,0.0,0.7666,1.2064,0.4095,0.0644,-0.1571,0.0864
3,10,0.0,2.0,0.7712,1.2164,0.414,0.0648,-0.1566,0.0864
3,10,0.0,5.0,0.7626,1.2059,0.4092,0.0641,-0.1566,0.0865
3,10,5.0,0.0,0.7339,1.1502,0.3817,0.0614,-0.1608,0.0864
3,10,5.0,2.0,0.7389,1.1605,0.3862,0.0619,-0.1602,0.0864
3,10,5.0,5.0,0.7307,1.1504,0.3818,0.0611,-0.1602,0.0865
3,10,15.0,0.0,0.6682,1.0422,0.324,0.0554,-0.171,0.0864
3,10,15.0,2.0,0.6741,1.0539,0.329,0.056,-0.1702,0.0865
3,10,15.0,5.0,0.6665,1.0447,0.3217,0.0553,-0.172,0.0866
3,10,30.0,0.0,0.5693,0.8789,0.2431,0.0465,-0.1914,0.0866
3,10,30.0,2.0,0.5766,0.8921,0.2482,0.0472,-0.1903,0.0866
3,10,30.0,5.0,0.57,0.8842,0.243,0.0467,-0.192,0.0867
3,15,0.0,0.0,0.7666,1.2064,0.4095,0.0644,-0.1571,0.0864
3,15,0.0,2.0,0.7712,1.2164,0.414,0.0648,-0.1566,0.0864
3,15,0.0,5.0,0.7626,1.2059,0.4092,0.0641,-0.1566,0.0865
3,15,5.0,0.0,0.7339,1.1502,0.3817,0.0614,-0.1608,0.0864
3,15,5.0,2.0,0.7389,1.1605,0.3862,0.0619,-0.1602,0.0864
3,15,5.0,5.0,0.7307,1.1504,0.3818,0.0611,-0.1602,0.0865
3,15,15.0,0.0,0.6682,1.0422,0.324,0.0554,-0.171,0.0864
3,15,15.0,2.0,0.6741,1.0539,0.329,0.056,-0.1702,0.0865
3,15,15.0,5.0,0.6665,1.0447,0.3217,0.0553,-0.172,0.0866
3,15,30.0,0.0,0.5693,0.8789,0.2431,0.0465,-0.1914,0.0866
3,15,30.0,2.0,0.5766,0.8921,0.2482,0.0472,-0.1903,0.0866
3,15,30.0,5.0,0.57,0.8842,0.243,0.0467,-0.192,0.0867
3,20,0.0,0.0,0.7475,1.1856,0.4057,0.0638,-0.1571,0.088
3,20,0.0,2.0,0.7522,1.1959,0.4102,0.0642,-0.1566,0.0881
3,20,0.0,5.0,0.7434,1.185,0.4053,0.0634,-0.1566,0.0881
3,20,5.0,0.0,0.7159,1.1306,0.3783,0.0608,-0.1608,0.088
3,20,5.0,2.0,0.7211,1.1413,0.383,0.0613,-0.1602,0.0881
3,20,5.0,5.0,0.7127,1.1307,0.3783,0.0606,-0.1602,0.0881
3,20,15.0,0.0,0.6526,1.0255,0.3215,0.055,-0.171,0.0881
3,20,15.0,2.0,0.6588,1.0375,0.3267,0.0556,-0.1702,0.0881
3,20,15.0,5.0,0.651,1.028,0.3192,0.0549,-0.172,0.0882
3,20,30.0,0.0,0.5574,0.8665,0.2418,0.0463,-0.1914,0.0882
3,20,30.0,2.0,0.565,0.8802,0.2469,0.047,-0.1903,0.0883
3,20,30.0,5.0,0.5582,0.8719,0.2417,0.0464,-0.192,0.0884
4,10,0.0,0.0,0.7377,1.0325,0.2452,0.0597,-0.2437,0.0836
4,10,0.0,2.0,0.7456,1.0475,0.2488,0.0604,-0.2427,0.0835
4,10,0.0,5.0,0.7465,1.0425,0.2492,0.0602,-0.2417,0.0832
4,10,5.0,0.0,0.7066,0.9872,0.2309,0.057,-0.2467,0.0835
4,10,5.0,2.0,0.7149,1.0028,0.2346,0.0576,-0.2456,0.0834
4,10,5.0,5.0,0.7159,0.9981,0.2351,0.0575,-0.2446,0.0831
